instance_number,instance,number_of_machines,number_of_orders,number_of_workers,alpha,lower_bound,Tc,Tcry,q,IT,gha_gap,gha_obj,sa_Gap,sa_obj,sa_Time
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,20,0.9,100,0.972992694775031,673.88,0.973,673.88,0.852
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,20,0.9,100,0.972992694775031,673.88,0.973,673.88,0.636
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,20,0.9,100,0.972992694775031,673.88,0.973,673.88,0.645
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,20,0.9,100,0.972992694775031,673.88,0.973,673.88,0.702
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,20,0.9,100,0.972992694775031,673.88,0.973,673.88,0.661
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,20,0.95,50,0.972992694775031,673.88,0.973,673.88,0.685
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,20,0.95,50,0.972992694775031,673.88,0.973,673.88,0.699
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,20,0.95,50,0.972992694775031,673.88,0.973,673.88,0.662
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,20,0.95,50,0.972992694775031,673.88,0.973,673.88,0.677
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,20,0.95,50,0.972992694775031,673.88,0.973,673.88,0.659
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,20,0.95,100,0.972992694775031,673.88,0.973,673.88,1.391
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,20,0.95,100,0.972992694775031,673.88,0.973,673.88,1.279
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,20,0.95,100,0.972992694775031,673.88,0.973,673.88,1.74
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,20,0.95,100,0.972992694775031,673.88,0.973,673.88,2.253
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,200,20,0.95,100,0.972992694775031,673.88,0.973,673.88,1.359
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,1,0.9,50,0.972992694775031,673.88,0.973,673.88,0.862
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,1,0.9,50,0.972992694775031,673.88,0.973,673.88,0.891
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,1,0.9,50,0.972992694775031,673.88,0.973,673.88,0.89
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,1,0.9,50,0.972992694775031,673.88,0.973,673.88,0.861
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,1,0.9,50,0.972992694775031,673.88,0.973,673.88,0.878
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,1,0.9,100,0.972992694775031,673.88,0.973,673.88,1.798
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,1,0.9,100,0.972992694775031,673.88,0.973,673.88,1.765
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,1,0.9,100,0.972992694775031,673.88,0.973,673.88,3.015
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,1,0.9,100,0.972992694775031,673.88,0.973,673.88,1.735
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,1,0.9,100,0.972992694775031,673.88,0.973,673.88,1.772
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,1,0.95,50,0.972992694775031,673.88,0.973,673.88,1.823
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,1,0.95,50,0.972992694775031,673.88,0.973,673.88,1.824
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,1,0.95,50,0.972992694775031,673.88,0.973,673.88,1.814
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,1,0.95,50,0.972992694775031,673.88,0.973,673.88,2.308
1639050697.848473,1639050697.848473-Work5,2,50,5,1,667.3863792836465,500,1,0.95,50,0.972992694775031,673.88,0.973,673.88,2.599
